username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AThayaseelan;2016-05-05 03:03;0;0;"@MBrunelWalker @SadiqKhan No politician can deliver on this promise";;@MBrunelWalker @SadiqKhan;;"727936591977689088";https://twitter.com/AThayaseelan/status/727936591977689088
nds2601;2016-05-05 03:02;2;1;"@jiks @SadiqKhan .......not just Hindus but Jewish, Christians & Sikhs too, must not let this vile man become #LondonMayor2016";;@jiks @SadiqKhan;#LondonMayor2016;"727936571564036096";https://twitter.com/nds2601/status/727936571564036096
Laurenile;2016-05-05 03:02;0;0;"@SadiqKhan @eddieizzard @ChukaUmunna @wesstreeting @OwenJones8 , come on get real fellas. I don't know anyone who could afford one anyway";;@SadiqKhan @eddieizzard @ChukaUmunna @wesstreeting @OwenJones8;;"727936534616363008";https://twitter.com/Laurenile/status/727936534616363008
theopinionis;2016-05-05 03:02;0;0;"UKLabour: RT cllrritab: This afternoon out in Maida Vale #labourdoorstep for SadiqKhan TeamKhan2016 with 220_d_92_… pic.twitter.com/Rozv7diWdz";;;#labourdoorstep;"727936532947021824";https://twitter.com/theopinionis/status/727936532947021824
Madrid_is_RED;2016-05-05 03:02;0;0;"@SadiqKhan @ChukaUmunna @wesstreeting @eddieizzard @OwenJones84 @CatherineWest1 @RuthCadbury @TulipSiddiq @KateOsamor that's illegal";;@SadiqKhan @ChukaUmunna @wesstreeting @eddieizzard @OwenJones84 @CatherineWest1 @RuthCadbury @TulipSiddiq @KateOsamor;;"727936529205739520";https://twitter.com/Madrid_is_RED/status/727936529205739520
Hodgeroonies;2016-05-05 03:02;1;1;"Best wishes to all Labour candidates tomorrow especially to @SadiqKhan and to @WMLabour .Hope Corbyn hasnt done too much damage to you.";;@SadiqKhan @WMLabour;;"727936496422952963";https://twitter.com/Hodgeroonies/status/727936496422952963
christhegoth;2016-05-05 03:02;0;0;"#Tory #Cameron lying about Sadiq Khan again: http:// ow.ly/4nqG7x They must be terrified of him to try the 'terrorist' card.";;;#Tory #Cameron;"727936472473538562";https://twitter.com/christhegoth/status/727936472473538562
SSWolfgard;2016-05-05 03:02;1;0;"Mentality of Sadiq If #SadiqKhan wins blame Corbyn If #SadiqKhan loses blame Corbyn I'm voting #georgegalloway for #LondonMayor2016";;;#SadiqKhan #SadiqKhan #georgegalloway #LondonMayor2016;"727936369402712065";https://twitter.com/SSWolfgard/status/727936369402712065
NatashaNoman;2016-05-05 03:02;1;1;". @SadiqKhan will likely be London's first Muslim mayor — despite calling some Muslims "Uncle Toms" https:// mic.com/articles/14260 4/sadiq-khan-could-be-london-s-first-muslim-mayor-despite-questionable-remarks-about-muslims#.JGDwsaCZ5 … via @MicNews";;@SadiqKhan @MicNews;#;"727936347357519873";https://twitter.com/NatashaNoman/status/727936347357519873
Jebz96;2016-05-05 03:01;0;0;"@SadiqKhan hay What are you going to do for people waiting for social housing. #readykhan";;@SadiqKhan;#readykhan;"727936262649327617";https://twitter.com/Jebz96/status/727936262649327617
notiven;2016-05-05 03:01;0;0;"RT: @nytimesworld :Londoners decide whether to elect Sadiq Khan , Labour front-runner, on Thursday. He'd be their first Muslim mayor https://";;@nytimesworld;;"727936174438776832";https://twitter.com/notiven/status/727936174438776832
CommuterCurd;2016-05-05 03:01;0;0;"@Jmroberts343Jmr @LBC @theousherwood @SadiqKhan https://www. youtube.com/watch?v=QLCm2h oM9aE&feature=youtu.be …";;@Jmroberts343Jmr @LBC @theousherwood @SadiqKhan;;"727936106080153600";https://twitter.com/CommuterCurd/status/727936106080153600
David_Millican;2016-05-05 03:00;0;0;"@EalingLabour @EalingGazette @SadiqKhan @DrOnkarSahota Its no endorsement. Labour paid for this. Come clean";;@EalingLabour @EalingGazette @SadiqKhan @DrOnkarSahota;;"727936077714067456";https://twitter.com/David_Millican/status/727936077714067456
MarinaKim_;2016-05-05 03:00;0;1;"It's like some people have hurried to support Sadiq Khan &are now embarrassed to admit that it's been a poor choice http://www. huffingtonpost.co.uk/marina-kim/sad iq-khan-zac-goldsmith_b_9836002.html …";;;;"727936042297372672";https://twitter.com/MarinaKim_/status/727936042297372672
KarlTurnerMP;2016-05-05 03:00;23;22;"Oh dear #NastyZac causing life long #Tories to vote @UKLabour @SadiqKhan @OwenJones84 https:// twitter.com/shaziaawan/sta tus/727935334688903168 …";;@UKLabour @SadiqKhan @OwenJones84;#NastyZac #Tories;"727935920129888257";https://twitter.com/KarlTurnerMP/status/727935920129888257
callumLtfc;2016-05-05 03:00;0;0;"Good Luck @SadiqKhan You'll need it !!";;@SadiqKhan;;"727935896515952640";https://twitter.com/callumLtfc/status/727935896515952640
MBrunelWalker;2016-05-05 02:59;1;8;"@SadiqKhan its a lovely idea .. really it is ... but how the hell would you actually be able to deliver on that promise?";;@SadiqKhan;;"727935824168357888";https://twitter.com/MBrunelWalker/status/727935824168357888
DMarsti;2016-05-05 02:59;0;0;"@maxrushden @SadiqKhan Why him Max ?";;@maxrushden @SadiqKhan;;"727935730866110464";https://twitter.com/DMarsti/status/727935730866110464
nytimesworld;2016-05-05 02:59;12;18;"Londoners decide whether to elect Sadiq Khan , Labour front-runner, on Thursday. He'd be their first Muslim mayor http:// nyti.ms/1q0TqKt";;;;"727935729968549888";https://twitter.com/nytimesworld/status/727935729968549888
PDTSaysThings;2016-05-05 02:59;12;11;"Apparently @KTHopkins will streak down Regents St if Sadiq Khan wins. RT if you're up for standing on the sidelines shouting "Shame!"";;@KTHopkins;;"727935718589378560";https://twitter.com/PDTSaysThings/status/727935718589378560
miqdaad;2016-05-05 02:59;2;9;"I will be voting & campaigning for @SadiqKhan to be Mayor of London tomorrow: see link for my personal rationale https:// m.facebook.com/story.php?stor y_fbid=10101519381728999&id=36801060 …";;@SadiqKhan;;"727935590289813504";https://twitter.com/miqdaad/status/727935590289813504
perayahmet;2016-05-05 02:59;1;1;"Leader: London is calling Sadiq Khan #ReadyForKhan http://www. newstatesman.com/politics/uk/20 16/04/leader-london-calling-sadiq-khan …";;;#ReadyForKhan;"727935578784813057";https://twitter.com/perayahmet/status/727935578784813057
ecmagenda;2016-05-05 02:58;0;0;"Aye, @massc0 correct, but @QuilliamF will not be heard as @SadiqKhan is the only hope of @UKLabour so they won't suspend the #racist bastard";;@massc0 @QuilliamF @SadiqKhan @UKLabour;#racist;"727935573374185472";https://twitter.com/ecmagenda/status/727935573374185472
AThayaseelan;2016-05-05 02:58;0;0;"@DrAyshaRaza @SadiqKhan @TeamKhan2016 No diversity even in his choice of biscuits. Typical of racist Khan";;@DrAyshaRaza @SadiqKhan @TeamKhan2016;;"727935456143380480";https://twitter.com/AThayaseelan/status/727935456143380480
danfwfarr;2016-05-05 02:58;0;0;"@imaginger @SadiqKhan No offence, Mr Khan, but I'd rather gnaw my own cock off :-)";;@imaginger @SadiqKhan;;"727935387461660674";https://twitter.com/danfwfarr/status/727935387461660674
MedEighty;2016-05-05 02:58;0;0;"@SadiqKhan That can only happen if you end the corrupt system that is capitalism.";;@SadiqKhan;;"727935369916891136";https://twitter.com/MedEighty/status/727935369916891136
Nkttwebtv;2016-05-05 02:58;0;0;"afpfr: RT RemiBanet: A Londres, Sadiq Khan conforte ses chances de devenir le premier maire musulman d'une capitale occidentale …";;;;"727935345682206724";https://twitter.com/Nkttwebtv/status/727935345682206724
CoopCrofts;2016-05-05 02:57;0;2;"@davidarodgers @SadiqKhan @TheCooperative Too healthy for my personal needs on Polling Day! I eat beige food on the Big Day.";;@davidarodgers @SadiqKhan @TheCooperative;;"727935189121441792";https://twitter.com/CoopCrofts/status/727935189121441792
LakeTurner;2016-05-05 02:57;18;11;"after reading this I'll be voting @sianberry then @SadiqKhan http://www. theguardian.com/politics/ng-in teractive/2016/may/04/london-mayoral-election-how-to-make-the-most-of-your-second-vote?CMP=share_btn_tw …";;@sianberry @SadiqKhan;;"727935178505527296";https://twitter.com/LakeTurner/status/727935178505527296
Anthony_M_Kelly;2016-05-05 02:57;3;2;"Tomorrow Londoners Need to Mobilise and Vote Labour for Their Future! @SadiqKhan @LondonLabour @SouthwarkLabour pic.twitter.com/NbnAG9eVB0";;@SadiqKhan @LondonLabour @SouthwarkLabour;;"727935083328442368";https://twitter.com/Anthony_M_Kelly/status/727935083328442368
SteveODare;2016-05-05 02:56;0;0;"@SadiqKhan @eddieizzard @ChukaUmunna @wesstreeting @OwenJones84 @CatherineWest1 @RuthCadbury @TulipSiddiq @KateOsamor Yes of course DOH!";;@SadiqKhan @eddieizzard @ChukaUmunna @wesstreeting @OwenJones84 @CatherineWest1 @RuthCadbury @TulipSiddiq @KateOsamor;;"727935037950312448";https://twitter.com/SteveODare/status/727935037950312448
brewbich;2016-05-05 02:56;0;1;"@SadiqKhan @ChukaUmunna @wesstreeting @eddieizzard @OwenJones84 @CatherineWest1 @RuthCadbury @TulipSiddiq @KateOsamor you have my vote";;@SadiqKhan @ChukaUmunna @wesstreeting @eddieizzard @OwenJones84 @CatherineWest1 @RuthCadbury @TulipSiddiq @KateOsamor;;"727935031696605186";https://twitter.com/brewbich/status/727935031696605186
GreenGreenwich;2016-05-05 02:56;0;0;"@mukhtarkarim @AngieMeader @MayorofLondon @SadiqKhan sorry not true. #Sian4Mayor Clean & Green.";;@mukhtarkarim @AngieMeader @MayorofLondon @SadiqKhan;#Sian4Mayor;"727934992169455618";https://twitter.com/GreenGreenwich/status/727934992169455618
citoyenneFrance;2016-05-05 02:56;4;0;"Sadiq Khan , un travailliste musulman en passe de prendre la mairie de Londres - CITOYENS ET FRANCAIS http:// fb.me/6YogOBjm7";;;;"727934903556419584";https://twitter.com/citoyenneFrance/status/727934903556419584
edfomeara;2016-05-05 02:56;0;1;"@SadiqKhan I'm voting for you, but I'm a bit regretful that you have to distance yourself from your party leader. It's a crap system.";;@SadiqKhan;;"727934896992333826";https://twitter.com/edfomeara/status/727934896992333826
stuartpwitt;2016-05-05 02:56;0;0;"Livingstone row will hit #Labour vote, Sadiq Khan admits #antiSemitism #Elections http://www. hubpolitic.com/livingstone-ro w-will-hit-labour-vote-sadiq-khan-admits/ …";;;#Labour #antiSemitism #Elections;"727934892185620481";https://twitter.com/stuartpwitt/status/727934892185620481
ClissoldLabour;2016-05-05 02:56;2;2;". @sophisabella @MickMcAteer @SadiqKhan it genuinely does look beautiful on the clissold #labourdoorstep pic.twitter.com/fBmhPc2bVV";;@sophisabella @MickMcAteer @SadiqKhan;#labourdoorstep;"727934879279755266";https://twitter.com/ClissoldLabour/status/727934879279755266
justinpgdr;2016-05-05 02:56;2;1;"Sadiq Khan issues grovelling apology over 'Uncle Toms' slur http:// dailym.ai/24xjBIb via http:// dailym.ai/android used to grovelling at mosque";;;;"727934871998476288";https://twitter.com/justinpgdr/status/727934871998476288
lugboy;2016-05-05 02:56;0;1;"@KarenPBuckMP @SadiqKhan Bless you Karen, and good luck tomorrow Sadiq. It will be really great to have Sadiq as Mayor of London";;@KarenPBuckMP @SadiqKhan;;"727934843724664832";https://twitter.com/lugboy/status/727934843724664832
