username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MirrorOfMirrors;2016-05-04 20:57;0;0;"Zac Goldsmith received £46,000 linked to luxury flat developers http:// gu.com/p/4tzk9/stw";;;;"727844636258140160";https://twitter.com/MirrorOfMirrors/status/727844636258140160
SteLeeeMancman;2016-05-04 20:57;0;0;"@bryanadams @ZacGoldsmith FUCK YOU NONCE";;@bryanadams @ZacGoldsmith;;"727844631774429184";https://twitter.com/SteLeeeMancman/status/727844631774429184
jyatak;2016-05-04 20:57;0;0;"@drbenjohnson @wesstreeting I think by you suggesting that it voters to Zac Goldsmith as well";;@drbenjohnson @wesstreeting;;"727844613957029888";https://twitter.com/jyatak/status/727844613957029888
xeccar;2016-05-04 20:57;0;0;"@richard75941061 @Reprobatemum @ZacGoldsmith Like many, I joined the PH trade initially as a stopgap not as a career choice.....";;@richard75941061 @Reprobatemum @ZacGoldsmith;;"727844570961219584";https://twitter.com/xeccar/status/727844570961219584
Stretford_Dogs;2016-05-04 20:57;0;0;"The Zac Goldsmith Milk pictures in this are quite possibly the best thing I've seen so far. What's with the Milk? https:// twitter.com/MirrorPolitics /status/727838999553949696 …";;;;"727844499238600706";https://twitter.com/Stretford_Dogs/status/727844499238600706
richard75941061;2016-05-04 20:56;0;0;"@xeccar @Reprobatemum @ZacGoldsmith They only operate legally in the same way 'Pirate Bay' is 'legal'. TFL simply haven't modernised regs.";;@xeccar @Reprobatemum @ZacGoldsmith;;"727844419244789760";https://twitter.com/richard75941061/status/727844419244789760
Nelson_Muntz23;2016-05-04 20:56;0;0;"@bryanadams @ZacGoldsmith Aren't you Canadian?";;@bryanadams @ZacGoldsmith;;"727844414295560192";https://twitter.com/Nelson_Muntz23/status/727844414295560192
BrendonHope;2016-05-04 20:56;0;0;"@David_Cameron @ZacGoldsmith Thumbs up if you love playing soggy biscuit.";;@David_Cameron @ZacGoldsmith;;"727844395194658816";https://twitter.com/BrendonHope/status/727844395194658816
Adullamite1;2016-05-04 20:55;0;0;"@JamesCleverly @ZacGoldsmith @BackZac4London Careful a terrorist stallholder might be there Zac!";;@JamesCleverly @ZacGoldsmith @BackZac4London;;"727844122338459648";https://twitter.com/Adullamite1/status/727844122338459648
christopheslade;2016-05-04 20:55;0;3;"shag, marry, kill: - zac goldsmith - george osborne - george galloway";;;;"727844073533538305";https://twitter.com/christopheslade/status/727844073533538305
Crazy_DavidP;2016-05-04 20:55;0;0;"@bryanadams @ZacGoldsmith Thats your Albums in the Bin. #NastyZac election bulletin on the BBC, reminded me of Doctor Krispin from My Hero";;@bryanadams @ZacGoldsmith;#NastyZac;"727844069272125440";https://twitter.com/Crazy_DavidP/status/727844069272125440
ninetimesfined;2016-05-04 20:55;0;0;"@bryanadams Zac Goldsmith might make London the greenest city on earth, but he'll also shaft the poor, the disabled and the public sector.";;@bryanadams;;"727844057263812608";https://twitter.com/ninetimesfined/status/727844057263812608
ZacGate;2016-05-04 20:55;0;1;"How could you vote for Zac Goldsmith as Mayor of London? The man doesn't even know his Tube stations #nastyzac http:// buff.ly/1UywkHL";;;#nastyzac;"727843972022992897";https://twitter.com/ZacGate/status/727843972022992897
757LiveUK;2016-05-04 20:54;0;0;"I’d be the greenest Mayor Zac Goldsmith pledges to clean up the air in London – Evening Standard #757Live http://www. 757live.co/id-be-the-gree nest-mayor-zac-goldsmith-pledges-to-clean-up-the-air-in-london-evening-standard/ …";;;#757Live;"727843931749240832";https://twitter.com/757LiveUK/status/727843931749240832
RamiRanger;2016-05-04 20:54;1;3;"Direct appeal from current Mayor @BorisJohnson to vote for @ZacGoldsmith tomorrow for a safer & prosperous London. pic.twitter.com/dCbz2UWcim";;@BorisJohnson @ZacGoldsmith;;"727843915215339520";https://twitter.com/RamiRanger/status/727843915215339520
mrmetacrisis;2016-05-04 20:54;0;0;"Zac Goldsmith asked voters not to pay any attention to the severed cat heads in the back of his milk float.";;;;"727843909678804992";https://twitter.com/mrmetacrisis/status/727843909678804992
TinyEibar;2016-05-04 20:54;0;0;"@bryanadams @ZacGoldsmith Are you being paid to tweet this?";;@bryanadams @ZacGoldsmith;;"727843735577501697";https://twitter.com/TinyEibar/status/727843735577501697
tvtenterhooks;2016-05-04 20:53;0;6;"@MontyPanesar @ZacGoldsmith why? A bloke who plays on racial divides and pits Londoner against londoner. Hope he paid you well for tweet.";;@MontyPanesar @ZacGoldsmith;;"727843711485415425";https://twitter.com/tvtenterhooks/status/727843711485415425
Livlonanprsper;2016-05-04 20:53;0;0;"@ZacGoldsmith this include your thirsty mates at Guido they really are unpleasant characters http:// zelo-street.blogspot.com/2016/05/guido- fawked-ableism-hate-speech.html … #LondonMayor2016";;@ZacGoldsmith;#LondonMayor2016;"727843660616863744";https://twitter.com/Livlonanprsper/status/727843660616863744
eddiepurple;2016-05-04 20:53;0;0;"@ZacGoldsmith Schoolboy error, you shouldn't look down at your £2,000 Macbook Pro while on the move, you might feel travel sick.";;@ZacGoldsmith;;"727843653188734976";https://twitter.com/eddiepurple/status/727843653188734976
KLCanolog;2016-05-04 20:53;0;1;"@azrulmohdkhalib @ladymissazira true but it's been a very dirty and racist fight. #zacgoldsmith #NastyZac";;@azrulmohdkhalib @ladymissazira;#zacgoldsmith #NastyZac;"727843600411836416";https://twitter.com/KLCanolog/status/727843600411836416
peterjrose1;2016-05-04 20:53;22;3;"Tory Zac Goldsmith will scrap all bus lanes within three years if he's elected Mayor of London - Mirror Online http:// bit.ly/1MMjH45";;;;"727843560381399042";https://twitter.com/peterjrose1/status/727843560381399042
xeccar;2016-05-04 20:53;0;0;"@richard75941061 @Reprobatemum @ZacGoldsmith ...they operate legally. Because you don't like it doesn't make the operation illegal.";;@richard75941061 @Reprobatemum @ZacGoldsmith;;"727843503364030464";https://twitter.com/xeccar/status/727843503364030464
RadicalEmu;2016-05-04 20:53;0;0;"@bryanadams @ZacGoldsmith lol";;@bryanadams @ZacGoldsmith;;"727843485253046272";https://twitter.com/RadicalEmu/status/727843485253046272
BogusSemantics;2016-05-04 20:53;0;0;"@Zac_Goldsmith is running a patronising and poisonous campaign - you omitted pathetic! http://www. newstatesman.com/politics/elect ions/2016/05/zac-goldsmith-running-patronising-and-poisonous-campaign … #ToryElectionFraud #BBCNews";;@Zac_Goldsmith;#ToryElectionFraud #BBCNews;"727843483436916742";https://twitter.com/BogusSemantics/status/727843483436916742
richard75941061;2016-05-04 20:52;0;0;"@xeccar @Reprobatemum @ZacGoldsmith than an uber driver? 2/2";;@xeccar @Reprobatemum @ZacGoldsmith;;"727843437815451649";https://twitter.com/richard75941061/status/727843437815451649
photog_MW;2016-05-04 20:52;0;0;"@bryanadams @ZacGoldsmith to be honest, getting rid of all the traffic & people & constant building work would make it the greenest city :)";;@bryanadams @ZacGoldsmith;;"727843402792964096";https://twitter.com/photog_MW/status/727843402792964096
Hackneycarriag1;2016-05-04 20:52;0;0;"@ZacGoldsmith LEVEL THE PLAYING FIELD ? .could mean anything .especially orders from no 10/11";;@ZacGoldsmith;;"727843351236624384";https://twitter.com/Hackneycarriag1/status/727843351236624384
xeccar;2016-05-04 20:51;0;0;"@richard75941061 @Reprobatemum @ZacGoldsmith JjObly if you were prepared to accept the ruling of the judiciary. If your target is Uber....";;@richard75941061 @Reprobatemum @ZacGoldsmith;;"727843208286355457";https://twitter.com/xeccar/status/727843208286355457
Graham_Galpin;2016-05-04 20:51;0;1;"@TheOnlyGuru @harrietSW1 @ZacGoldsmith I've got Tory membership forms and nomination papers winging their way to you";;@TheOnlyGuru @harrietSW1 @ZacGoldsmith;;"727843199117561856";https://twitter.com/Graham_Galpin/status/727843199117561856
BluebackHotrod;2016-05-04 20:51;0;0;"@EOnAntisemitism @David_Cameron @ZacGoldsmith Everyone look! Found one! It took a while but I finally found a favourable reply to this photo";;@EOnAntisemitism @David_Cameron @ZacGoldsmith;;"727843158306992128";https://twitter.com/BluebackHotrod/status/727843158306992128
